make,basemodel,model
BMW,7 Series,Alpina B7 xDrive
BMW,7 Series,M760i xDrive
BMW,7 Series,M760i xDrive Sedan
BMW,8 Series,840ci
BMW,8 Series,840i Convertible
BMW,8 Series,840i Coupe
BMW,8 Series,840i Gran Coupe
BMW,8 Series,840i xDrive Convertible
BMW,8 Series,840i xDrive Coupe
BMW,8 Series,840i xDrive Gran Coupe
BMW,8 Series,850ci
BMW,8 Series,850csi
BMW,8 Series,850i
BMW,8 Series,Alpina B8 Gran Coupe
BMW,8 Series,M850i xDrive Convertible
BMW,8 Series,M850i xDrive Coupe
BMW,8 Series,M850i xDrive Gran Coupe
BMW,Active E,Active E
BMW,ActiveHybrid X6,ActiveHybrid X6
BMW,i3,i3
BMW,i3,i3 (94Ah)
BMW,i3,i3 (94Ah) with Range Extender
BMW,i3,i3 BEV
BMW,i3,i3 BEV (60  Amp-hour battery)
BMW,i3,i3 BEV (94 Amp-hour battery)
BMW,i3,i3 REX
BMW,i3,i3 REX  (94 Amp-hour battery)
BMW,i3,i3 with Range Extender
BMW,i3,i3s
BMW,i3,i3s (94Ah)
BMW,i3,i3s (94Ah) with Range Extender
BMW,i3,i3s with Range Extender
BMW,i4,i4 eDrive35 Gran Coupe (18 inch Wheels)
BMW,i4,i4 eDrive35 Gran Coupe (19 inch Wheels)
BMW,i4,i4 eDrive40 Gran Coupe (18 inch wheels)
BMW,i4,i4 eDrive40 Gran Coupe (19 inch wheels)
BMW,i4,i4 M50 Gran Coupe (19 inch wheels)
BMW,i4,i4 M50 Gran Coupe (20 inch wheels)
BMW,i4,i4 xDrive40 Gran Coupe (18 inch Wheels)
BMW,i4,i4 xDrive40 Gran Coupe (19 inch Wheels)
BMW,i5,i5 eDrive40 Sedan (19 inch Wheels)
BMW,i5,i5 eDrive40 Sedan (20 inch Wheels)
BMW,i5,i5 eDrive40 Sedan (21 inch Wheels)
BMW,i5,i5 M60 xDrive Sedan (19 inch Wheels)
BMW,i5,i5 M60 xDrive Sedan (20 inch Wheels)
BMW,i5,i5 M60 xDrive Sedan (21 inch Wheels)
BMW,i7,i7 eDrive50 Sedan (19 inch Wheels)
BMW,i7,i7 eDrive50 Sedan (20 inch Wheels)
BMW,i7,i7 eDrive50 Sedan (21 inch Wheels)
BMW,i7,i7 M70 xDrive Sedan (20 inch Wheels)
BMW,i7,i7 M70 xDrive Sedan (21 inch Wheels)
BMW,i7,i7 xDrive60 Sedan (19 inch wheels)
BMW,i7,i7 xDrive60 Sedan (20 inch wheels)
BMW,i7,i7 xDrive60 Sedan (21 inch wheels)
BMW,i8,i8
BMW,i8,I8 Coupe
BMW,i8,I8 Roadster
BMW,iX,iX M60 (21 inch Wheels)
BMW,iX,iX M60 (22 inch Wheels)
BMW,iX,iX xDrive40 (20 inch Wheels)
BMW,iX,iX xDrive40 (21 inch Wheels)
BMW,iX,iX xDrive40 (22 inch Wheels)
BMW,iX,iX xDrive50 (20 inch wheels)
BMW,iX,iX xDrive50 (21 inch wheels)
BMW,iX,iX xDrive50 (22 inch wheels)
BMW,M,M Coupe
BMW,M,M Roadster
BMW,M,M2
BMW,M,M2 Competition
BMW,M,M2 Competition Coupe
BMW,M,M2 Coupe
BMW,M,M2 CS Coupe
BMW,M,M235i Convertible
BMW,M,M235i xDrive Gran Coupe
BMW,M,M240i Convertible
BMW,M,M240i Coupe
BMW,M,M240i Coupe M Performance
BMW,M,M240i xDrive Convertible
BMW,M,M240i xDrive Coupe
BMW,M,M240i xDrive Coupe M Performance
BMW,M,M3
BMW,M,M3 Competition
BMW,M,M3 Competition M xDrive Sedan
BMW,M,M3 Competition Sedan
BMW,M,M3 Convertible
BMW,M,M3 Coupe
BMW,M,M3 CS
BMW,M,M3 CS Sedan
BMW,M,M3 Sedan
BMW,M,M340i
BMW,M,M340i xDrive
BMW,M,M4 Competition Coupe
BMW,M,M4 Competition M xDrive Convertible
BMW,M,M4 Competition M xDrive Coupe
BMW,M,M4 Convertible
BMW,M,M4 Convertible Competition
BMW,M,M4 Coupe
BMW,M,M4 Coupe Competition
BMW,M,M4 CS
BMW,M,M4 CSL Coupe
BMW,M,M4 DTM Champions Edition
BMW,M,M4 GTS
BMW,M,M440i xDrive Coupe
BMW,M,M5
BMW,M,M5 Competition
BMW,M,M5 Competition Sedan
